id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,20s_peak,20s_peak_wpk,60s_peak,60s_peak_wpk,180s_peak,180s_peak_wpk,240s_peak,240s_peak_wpk,420s_peak,420s_peak_wpk,720s_peak,720s_peak_wpk,weightkg, weightstd
4602cb99-23c6-4c62-b844-95cf183b2b28,16,M,230,230,0,0,0,833.0,592.66667,365.45833,345.6,303.91333,215.39583,178.53333,139.24083,137.60944,6.22974,4.67559,2.74667,2.14217,2.11707,597,9.184615384615384,405,6.230769230769231,346,5.323076923076923,353,5.430769230769231,235,3.6153846153846154,169,2.6,65.0,0.0
a86c2ef5-60b9-4a35-87de-d86cfdf5255a,38,M,202,121,0,0,81,1110.0,791.2,388.54167,330.79444,307.91667,286.04792,271.46833,239.27083,230.73389,6.58648,3.89243,3.43168,2.98361,2.91675,700,8.848829255645331,521,6.586057203130311,331,4.1842321194551495,314,3.9693319803894775,289,3.65330236411643,271,3.4257610403998355,80.35770821782177,2.171834517102626
40f04f0b-07b7-4f6a-917a-9c8aa0ea36f4,52,M,1000,442,188,1,369,1000.0,1000.0,686.61786,544.69195,450.0,450.0,410.0,365.83192,356.93326,11.59315,5.81395,5.29716,4.69743,4.55151,1000,13.148880105401844,916,11.594936708860759,545,7.114882506527415,483,6.148825065274152,450,5.813953488372093,383,4.986979166666667,80.25439,3.434318035399207
a9eccc33-44bf-4f9b-a539-0ad917bcd3ef,48,M,453,82,370,0,1,620.0,583.6,1256.975,924.17222,635.14667,471.12292,419.115,386.49917,377.40194,38.67139,10.58578,6.98525,6.44165,6.29003,6652,110.86666666666666,2320,38.666666666666664,924,15.4,740,12.333333333333334,508,8.466666666666667,394,6.566666666666666,60.0,0.0
86a362a6-d039-4455-a8b5-aa88e460e170,29,M,157,144,1,0,12,2000.0,676.4,301.78333,297.87222,273.16667,267.66458,264.61083,230.42,224.225,6.07188,4.26823,4.13454,3.60031,3.50352,592,9.25,389,6.078125,298,4.65625,280,4.375,269,4.203125,258,4.03125,64.0,0.0
8a82feb5-c8b0-4f7f-974c-f9d3fa72217b,51,M,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
f5e2497a-862c-4d19-b5c5-afafcfc17670,60,M,162,162,0,0,0,2405.0,938.2,416.98333,388.63333,333.25,325.49375,324.47333,286.15167,275.88278,6.99372,4.32792,4.21394,3.71626,3.58289,885,11.493506493506494,539,7.0,389,5.0519480519480515,383,4.974025974025974,326,4.233766233766234,320,4.1558441558441555,77.0,0.0
0b1eae3e-a92e-4d27-b551-384ce730c71a,48,M,238,135,103,0,0,975.0,571.4,376.2193,336.61206,320.225,313.28646,312.04667,293.95458,288.80333,5.85503,4.74407,4.62291,4.35488,4.32499,531,8.090812128599726,387,5.858310626702997,337,5.134846868809996,322,4.845345116562548,314,4.651851851851852,307,4.548148148148148,65.77638655462185,1.0160324350220185
5ffcf34d-4497-4c05-b052-b23561bd3dcf,40,M,249,217,0,0,32,1616.0,1039.8,462.49167,428.42222,389.51333,367.56042,349.29167,307.72417,304.49333,8.22176,5.40991,4.85127,4.27395,4.22907,981,13.625,592,8.222222222222221,428,5.944444444444445,415,5.763888888888889,376,5.222222222222222,316,4.388888888888889,72.0,0.0
e43c1c74-44d0-4472-8314-d5177a64bba3,46,M,688,2,0,0,686,1118.0,826.0,395.25833,376.79444,338.31333,324.69583,313.235,306.47,302.72056,6.68049,5.04977,4.69452,4.58787,4.53174,767,11.2960235640648,461,6.681481481481481,377,5.508100147275405,347,5.205479452054794,336,4.905109489051095,312,4.650455927051672,68.29345930232559,2.7517575611229237
799e9e1c-707c-41c2-81e6-528222957039,-48,M,1450,1242,56,9,143,2522.0,722.93333,348.87312,321.62441,288.67499,269.47577,249.08155,214.95917,207.15944,5.38108,4.12393,3.55831,3.16116,3.04646,603,8.617647058823529,377,5.385714285714286,322,4.6,299,4.271428571428571,275,3.9285714285714284,229,3.2714285714285714,69.00137931034483,0.4099329519647016
d17dc1dc-9cb6-45df-814f-67ecaa85b1f2,56,M,76,75,0,0,1,619.0,502.06667,237.18333,233.58333,225.25333,197.52292,193.495,174.97917,169.84722,5.10301,3.69268,3.17205,2.86851,2.78438,463,7.590163934426229,311,5.098360655737705,234,3.8360655737704916,230,3.7704918032786887,207,3.3934426229508197,181,2.9672131147540983,61.0,0.0
128de328-c400-427e-b009-2f34362192a1,56,M,19,18,0,0,1,449.0,405.26667,335.44167,318.05,298.21,293.61875,285.155,266.31667,257.82444,4.95708,4.08507,3.90623,3.64817,3.53184,399,5.465753424657534,362,4.958904109589041,318,4.3561643835616435,314,4.301369863013699,293,4.013698630136986,268,3.671232876712329,73.0,0.0
09d9fc91-5a24-409d-ba41-5ecb809ad65f,40,M,2147,1440,16,0,691,2496.0,1390.86667,532.375,472.57222,452.57667,431.69167,403.74667,393.13333,344.62,8.65201,5.45273,4.86442,4.73655,4.15205,1185,14.27710843373494,718,8.650602409638553,473,5.698795180722891,457,5.506024096385542,442,5.325301204819277,403,4.855421686746988,82.90312063344201,0.29586234217174173
9f262908-a0b8-4bf7-b4c5-aebfd1884601,-52,M,186,173,0,0,13,2153.0,943.93333,466.15,457.93889,391.89333,364.42083,345.26667,327.07,301.89944,8.04519,5.26031,4.63445,4.3902,4.05234,907,12.356164383561644,599,8.04026845637584,458,6.147651006711409,397,5.328859060402684,372,4.993288590604027,348,4.671140939597316,74.49247311827958,0.11026901663760214
7c1ef0bb-7758-4223-8208-bb07c4e3c167,80,M,72,62,0,0,10,708.0,526.86667,243.65,230.60444,215.92,206.02917,203.57167,202.65917,202.84444,3.58549,2.54024,2.39496,2.38423,2.38641,465,5.470588235294118,305,3.588235294117647,231,2.7176470588235295,222,2.611764705882353,210,2.4705882352941178,204,2.4,85.0,0.0
d1975db0-7125-40d6-9048-477845fc536e,45,M,51,25,0,0,26,1657.0,533.6,351.725,316.30556,313.38,285.7375,284.14833,255.26708,223.97,6.29417,5.223,4.73581,4.25445,3.73283,516,8.6,378,6.3,316,5.266666666666667,321,5.35,288,4.8,275,4.583333333333333,60.0,0.0
2a6bac1d-4143-4811-b5b1-392d5c2eaf2b,-61,M,1192,130,1048,7,7,752.0,730.33333,426.68333,406.91111,376.36,364.82083,363.99667,345.95333,344.56333,6.43611,5.22722,5.05551,4.80491,4.7856,719,9.98611111111111,463,6.430555555555555,407,5.652777777777778,380,5.277777777777778,366,5.083333333333333,349,4.847222222222222,72.0,0.0
04dbb597-fc85-4ace-8e4c-f749d3762c5f,55,M,722,441,195,46,40,2006.0,678.53333,343.95833,328.35,293.60667,259.56458,249.27667,228.8325,224.78944,4.55192,3.37479,2.86525,2.63026,2.58379,649,7.459770114942529,396,4.551724137931035,328,3.7701149425287355,313,3.5977011494252875,270,3.103448275862069,242,2.781609195402299,86.94058171745152,0.6061187724095227
906cf09c-f8aa-47cc-b7d3-42d9c717a410,40,M,273,3,1,0,269,489.0,372.6,296.525,260.8,260.44,251.89583,249.84167,221.42917,212.385,3.92201,3.33897,3.2031,2.83884,2.72288,359,4.602564102564102,306,3.923076923076923,261,3.3461538461538463,252,3.230769230769231,248,3.1794871794871793,251,3.217948717948718,78.00366300366301,0.06052275326688023
9e0a737f-6943-4095-9eed-71dd4b237498,39,M,45,45,0,0,0,1000.0,1000.0,618.17756,588.22204,533.16422,512.36441,490.78719,405.06939,356.76523,6.61953,5.07775,4.67416,3.8578,3.39776,998,9.504761904761905,695,6.619047619047619,588,5.6,564,5.371428571428571,518,4.933333333333334,449,4.276190476190476,105.0,0.0
f4a709d2-269b-428e-891b-bf1a8cf804fa,53,M,467,372,0,0,95,622.0,469.0,309.575,290.83333,265.41333,239.02292,229.29167,207.95,205.91111,5.6546,4.57609,3.9533,3.58534,3.55019,443,7.637931034482759,328,5.655172413793103,291,5.017241379310345,283,4.879310344827586,245,4.224137931034483,220,3.793103448275862,58.0,0.0
96462a55-4608-498d-9512-26db99eb33e3,46,M,122,122,0,0,0,925.0,730.46667,379.50833,342.17222,315.07333,293.82917,260.50333,248.49667,245.43889,6.25405,4.25775,3.52032,3.35806,3.31674,575,7.77027027027027,463,6.256756756756757,342,4.621621621621622,326,4.405405405405405,307,4.148648648648648,257,3.472972972972973,74.0,0.0
b97a689c-067e-420c-8a84-cc312bfd25fc,24,M,281,209,22,8,42,1163.0,817.26667,413.775,389.19444,367.07333,309.7875,284.64833,275.105,247.82444,6.9241,5.64728,4.37921,4.23238,3.81268,793,12.2,450,6.923076923076923,389,5.984615384615385,376,5.7846153846153845,326,5.015384615384615,285,4.384615384615385,65.0,0.0
63ff1e90-d742-4082-b278-d330d7cfd59a,20,M,386,344,8,21,13,1280.0,741.4,429.325,411.32778,380.4,359.46667,349.605,301.31833,290.58389,7.35625,5.28333,4.85562,4.18498,4.03589,676,9.38888888888889,530,7.361111111111111,411,5.708333333333333,388,5.388888888888889,364,5.055555555555555,329,4.569444444444445,72.0,0.0
c5079e65-27f9-43f4-9b7b-9101af8dc542,62,M,240,150,2,0,88,930.0,772.73333,346.40833,333.22778,307.82333,293.62083,295.23833,281.74583,254.945,4.66667,3.62145,3.47339,3.31466,2.99935,655,7.705882352941177,397,4.670588235294118,333,3.9176470588235293,318,3.7411764705882353,297,3.4941176470588236,283,3.3294117647058825,85.0,0.0
633de829-8fab-49fd-b612-39cf33f0d9b5,63,M,11,11,0,0,0,1000.0,711.63,282.43227,272.47346,258.71127,231.34089,222.79572,177.837,164.67779,5.29794,3.59321,3.09439,2.46996,2.28719,669,9.291666666666666,381,5.291666666666667,273,3.7916666666666665,265,3.6805555555555554,242,3.361111111111111,209,2.9027777777777777,72.0,0.0
4babedca-5349-43e7-823b-242e28171540,54,M,893,887,0,0,6,1171.0,915.66667,409.69167,404.10556,391.6,350.51875,350.32833,348.27083,314.12222,6.71753,5.08571,4.54972,4.523,4.07951,858,11.142857142857142,517,6.714285714285714,404,5.246753246753247,391,5.077922077922078,364,4.7272727272727275,350,4.545454545454546,76.996640537514,0.10039117221153823
6cc3872a-5037-4ae9-a62e-675f54585eb8,41,M,365,267,15,28,55,1000.0,1000.0,771.3135,748.99418,601.2812,545.91304,496.71499,405.40431,342.37838,13.852,8.84237,7.30463,5.96183,5.03498,1000,14.705882352941176,942,13.852941176470589,749,11.014705882352942,665,9.779411764705882,595,8.75,479,7.044117647058823,67.94794520547946,0.22244247869948625
5637f701-4dc5-42e0-9a37-eef8d895a7ed,50,M,383,377,0,0,6,1467.0,980.66667,430.56667,404.78889,365.91667,351.84375,345.86167,313.305,296.69778,7.95539,5.38113,5.0862,4.60743,4.3632,880,12.941176470588236,541,7.955882352941177,405,5.955882352941177,384,5.647058823529412,355,5.220588235294118,339,4.985294117647059,68.0,0.0
cf673de3-3a00-4a17-9ba4-e4299097858a,40,M,76,31,19,0,26,767.0,596.4,288.83333,278.96667,259.40667,229.68333,209.90333,193.82917,191.71611,4.62688,3.53897,2.86362,2.64433,2.6155,501,6.834924965893588,339,4.624829467939973,279,3.806275579809004,269,3.669849931787176,240,3.2742155525238745,207,2.8240109140518417,73.3,0.0
322ae7e0-f5fb-4829-a673-74926724cb5f,47,M,88,27,36,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,0.0
d0544249-8e2e-4940-a1be-e7f23abb8bc8,50,M,778,732,2,0,44,1160.0,899.06667,432.80833,378.86667,355.91333,321.80833,311.49333,295.685,288.04222,8.30922,5.08019,4.48018,4.25151,4.13189,871,12.638757890154537,572,8.313851548801871,379,5.447898151760813,367,5.238441884697184,341,4.90294751976995,305,4.375143447326142,69.95771568123392,0.903896505021353
bd78b0da-f479-49c1-afd8-5800aa89a9d8,43,M,394,137,1,15,241,2058.0,825.26667,419.66667,384.23889,358.35333,328.11667,319.16,277.88417,277.63667,6.92452,4.96334,4.4205,3.84881,3.84538,815,11.288088642659279,500,6.925207756232687,384,5.3185595567867034,376,5.207756232686981,332,4.598337950138504,303,4.196675900277008,72.20000000000002,1.4228923196390656e-14
9c51c31e-e160-4650-812f-78a80e16fe79,33,M,33,0,0,0,33,1067.0,712.33333,371.2,345.37222,316.90667,307.10833,297.865,272.93917,268.46778,5.43374,3.86472,3.6325,3.32853,3.274,624,7.609756097560975,446,5.439024390243903,345,4.2073170731707314,319,3.8902439024390243,309,3.768292682926829,292,3.5609756097560976,82.0,0.0
c3b83bc7-b6f2-46fb-b30e-8a658843862d,30,M,45,37,1,0,7,817.0,679.53333,365.075,325.17222,305.70333,277.77292,255.95833,248.59583,237.96167,4.71312,3.25216,2.72296,2.64464,2.53151,593,6.308510638297872,443,4.712765957446808,325,3.4574468085106385,313,3.3297872340425534,284,3.021276595744681,252,2.6808510638297873,94.0,0.0
454f0fc0-a1f1-4198-9037-edf4e4cdfd49,40,M,56,4,27,0,25,1354.0,918.4,553.76667,554.32222,521.41333,410.01667,396.99333,360.61667,348.83778,9.60714,7.44876,5.67133,5.15167,4.9834,910,13.0,673,9.614285714285714,554,7.914285714285715,508,7.257142857142857,417,5.957142857142857,399,5.7,69.89285714285714,0.3120938919661796
ca4c30b2-fffe-43db-8339-2b72fe485957,49,M,519,119,154,124,122,2000.0,828.0,324.4,320.75,309.76667,295.40625,279.94167,246.89417,244.50333,5.09855,4.48937,4.05713,3.57818,3.54353,659,9.55072463768116,352,5.101449275362318,321,4.6521739130434785,314,4.550724637681159,300,4.3478260869565215,260,3.7681159420289854,69.0,0.0
59681a02-f0a7-450b-818e-600499301801,-49,M,2898,2147,0,0,751,2000.0,1101.41667,490.45833,446.11111,402.33667,369.11667,361.42333,337.155,320.28111,10.23325,5.87418,5.27683,4.92251,4.67615,991,14.468748015292196,701,10.234704701029091,446,6.511666614349465,419,6.11746258164221,381,5.562656905980147,357,5.2122533213514775,68.49245,0.0
32e77804-a10b-4cd8-bf4d-6bf566f32f1f,54,M,546,545,1,0,0,1392.0,609.53333,344.56667,333.81111,329.86,326.58125,315.535,309.5825,304.76611,4.42521,4.12325,3.94419,3.86978,3.80958,490,6.125,354,4.425,334,4.175,330,4.125,327,4.0875,302,3.775,80.0,0.0
9b6d50f5-7e94-45b0-9c81-12162fd67458,52,M,250,207,0,0,43,565.0,530.86667,315.69167,287.0,278.22,270.725,267.87667,252.19167,235.56833,7.2463,5.15222,4.96068,4.67022,4.36238,528,9.777777777777779,391,7.2407407407407405,287,5.314814814814815,281,5.203703703703703,272,5.037037037037037,254,4.703703703703703,54.0,0.0
